Date : 2020-10-23 09:25:09
Directory : d:\Develop\AutoChess-Simulator
Total : 283 files,  21029 codes, 333 comments, 446 blanks, all 21808 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox-group\index.json      | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox\index.js              | JavaScript |         78 |          0 |          1 |         79 |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox\index.json            | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\circle\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\circle\index.js                | JavaScript |        149 |          2 |          1 |        152 |
| d:\Develop\AutoChess-Simulator\static\vant\circle\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\col\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\col\index.js                   | JavaScript |         23 |          0 |          1 |         24 |
| d:\Develop\AutoChess-Simulator\static\vant\col\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse-item\index.d.ts       | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse-item\index.js         | JavaScript |         96 |          0 |          1 |         97 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse-item\index.json       | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse\index.d.ts            | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse\index.js              | JavaScript |         50 |          0 |          1 |         51 |
| d:\Develop\AutoChess-Simulator\static\vant\collapse\index.json            | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\common\color.d.ts              | TypeScript |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\common\color.js                | JavaScript |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\common\component.d.ts          | TypeScript |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\common\component.js            | JavaScript |         42 |          4 |          1 |         47 |
| d:\Develop\AutoChess-Simulator\static\vant\common\utils.d.ts              | TypeScript |          7 |          1 |          1 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\common\utils.js                | JavaScript |         32 |          0 |          1 |         33 |
| d:\Develop\AutoChess-Simulator\static\vant\count-down\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\count-down\index.js            | JavaScript |         97 |          3 |          1 |        101 |
| d:\Develop\AutoChess-Simulator\static\vant\count-down\index.json          | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\count-down\utils.d.ts          | TypeScript |         10 |          0 |          1 |         11 |
| d:\Develop\AutoChess-Simulator\static\vant\count-down\utils.js            | JavaScript |         57 |          0 |          1 |         58 |
| d:\Develop\AutoChess-Simulator\static\vant\datetime-picker\index.d.ts     | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\datetime-picker\index.js       | JavaScript |        294 |          3 |          1 |        298 |
| d:\Develop\AutoChess-Simulator\static\vant\datetime-picker\index.json     | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\definitions\index.d.ts         | TypeScript |         26 |          1 |          1 |         28 |
| d:\Develop\AutoChess-Simulator\static\vant\definitions\index.js           | JavaScript |          0 |          0 |          1 |          1 |
| d:\Develop\AutoChess-Simulator\static\vant\definitions\weapp.d.ts         | TypeScript |         57 |         49 |          1 |        107 |
| d:\Develop\AutoChess-Simulator\static\vant\definitions\weapp.js           | JavaScript |          0 |          0 |          1 |          1 |
| d:\Develop\AutoChess-Simulator\static\vant\dialog\dialog.d.ts             | TypeScript |         46 |          1 |          1 |         48 |
| d:\Develop\AutoChess-Simulator\static\vant\dialog\dialog.js               | JavaScript |         63 |          0 |          1 |         64 |
| d:\Develop\AutoChess-Simulator\static\vant\dialog\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\dialog\index.js                | JavaScript |        109 |          1 |          1 |        111 |
| d:\Develop\AutoChess-Simulator\static\vant\dialog\index.json              | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\divider\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\divider\index.js               | JavaScript |         33 |          0 |          1 |         34 |
| d:\Develop\AutoChess-Simulator\static\vant\divider\index.json             | JSON       |          4 |          0 |          0 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-item\index.d.ts       | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-item\index.js         | JavaScript |        104 |          0 |          1 |        105 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-item\index.json       | JSON       |          8 |          0 |          1 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-menu\index.d.ts       | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-menu\index.js         | JavaScript |        121 |          0 |          1 |        122 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-menu\index.json       | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\dropdown-menu\index.wxs        | XML        |         14 |          0 |          3 |         17 |
| d:\Develop\AutoChess-Simulator\static\vant\field\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\field\index.js                 | JavaScript |        111 |          0 |          1 |        112 |
| d:\Develop\AutoChess-Simulator\static\vant\field\index.json               | JSON       |          7 |          0 |          0 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-button\index.d.ts | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-button\index.js   | JavaScript |         48 |          0 |          1 |         49 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-button\index.json | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-icon\index.d.ts   | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-icon\index.js     | JavaScript |         22 |          0 |          1 |         23 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action-icon\index.json   | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action\index.d.ts        | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action\index.js          | JavaScript |         22 |          0 |          1 |         23 |
| d:\Develop\AutoChess-Simulator\static\vant\goods-action\index.json        | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\grid-item\index.d.ts           | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\grid-item\index.js             | JavaScript |         68 |          0 |          1 |         69 |
| d:\Develop\AutoChess-Simulator\static\vant\grid-item\index.json           | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\grid\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\grid\index.js                  | JavaScript |         62 |          0 |          1 |         63 |
| d:\Develop\AutoChess-Simulator\static\vant\grid\index.json                | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\icon\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\icon\index.js                  | JavaScript |         27 |          0 |          1 |         28 |
| d:\Develop\AutoChess-Simulator\static\vant\icon\index.json                | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\image\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\image\index.js                 | JavaScript |         98 |          0 |          1 |         99 |
| d:\Develop\AutoChess-Simulator\static\vant\image\index.json               | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\index-anchor\index.d.ts        | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\index-anchor\index.js          | JavaScript |         22 |          0 |          1 |         23 |
| d:\Develop\AutoChess-Simulator\static\vant\index-anchor\index.json        | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\index-bar\index.d.ts           | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\index-bar\index.js             | JavaScript |        247 |          0 |          1 |        248 |
| d:\Develop\AutoChess-Simulator\static\vant\index-bar\index.json           | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\info\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\info\index.js                  | JavaScript |          8 |          0 |          1 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\info\index.json                | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\static\vant\loading\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\loading\index.js               | JavaScript |         13 |          0 |          1 |         14 |
| d:\Develop\AutoChess-Simulator\static\vant\loading\index.json             | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\basic.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\basic.js                | JavaScript |         26 |          0 |          1 |         27 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\button.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\button.js               | JavaScript |         18 |          0 |          1 |         19 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\link.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\link.js                 | JavaScript |         17 |          0 |          1 |         18 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\open-type.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\open-type.js            | JavaScript |         25 |          0 |          1 |         26 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\touch.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\touch.js                | JavaScript |         35 |          0 |          1 |         36 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\transition.d.ts         | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\mixins\transition.js           | JavaScript |        118 |          2 |          1 |        121 |
| d:\Develop\AutoChess-Simulator\static\vant\nav-bar\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\nav-bar\index.js               | JavaScript |         38 |          0 |          1 |         39 |
| d:\Develop\AutoChess-Simulator\static\vant\nav-bar\index.json             | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\notice-bar\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\notice-bar\index.js            | JavaScript |        128 |          0 |          1 |        129 |
| d:\Develop\AutoChess-Simulator\static\vant\notice-bar\index.json          | JSON       |          6 |          0 |          0 |          6 |
| d:\Develop\AutoChess-Simulator\static\vant\notify\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\notify\index.js                | JavaScript |         57 |          0 |          1 |         58 |
| d:\Develop\AutoChess-Simulator\static\vant\notify\index.json              | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\notify\notify.d.ts             | TypeScript |         19 |          0 |          1 |         20 |
| d:\Develop\AutoChess-Simulator\static\vant\notify\notify.js               | JavaScript |         42 |          0 |          1 |         43 |
| d:\Develop\AutoChess-Simulator\static\vant\overlay\index.d.ts             | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\overlay\index.js               | JavaScript |         21 |          1 |          1 |         23 |
| d:\Develop\AutoChess-Simulator\static\vant\overlay\index.json             | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\panel\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\panel\index.js                 | JavaScript |         10 |          0 |          1 |         11 |
| d:\Develop\AutoChess-Simulator\static\vant\panel\index.json               | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\picker-column\index.d.ts       | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\picker-column\index.js         | JavaScript |        117 |          0 |          1 |        118 |
| d:\Develop\AutoChess-Simulator\static\vant\picker-column\index.json       | JSON       |          3 |          0 |          0 |          3 |
